section,patient,panel,target,smooth,n_genes,med_all,mean_all,heg50_mean,top50_testpcc,top100_testpcc
B6,B,htg785_fixed,cp10k,smooth,785,0.38147178028543377,0.3597963217325895,0.32696163748127866,0.6518261994584829,0.6134153530033346
B1,B,htg785_fixed,scprep,raw,785,0.08106898796390072,0.08747462228433102,0.10670784594538282,0.3024951970381167,0.26435874527897574
B2,B,htg785_fixed,scprep,raw,785,0.08265989511904055,0.0914596085198579,0.09113923707074557,0.3161957544452608,0.26855404229240293
B3,B,htg785_fixed,scprep,raw,785,0.08097952912724103,0.0915001216706828,0.11144378491399745,0.3195530933818654,0.2704053642902482
B4,B,htg785_fixed,scprep,raw,785,0.08107101116407231,0.08822448106983995,0.12118306610332015,0.3223920746290727,0.2766441962415017
B5,B,htg785_fixed,scprep,raw,785,0.08369605318688043,0.09203872516084459,0.10188109632149273,0.31818914679951676,0.2759249243485368
B6,B,htg785_fixed,scprep,raw,785,0.09940884304992366,0.1058932260538942,0.13631940533810138,0.3542073540362198,0.2975281072377054
B1,B,htg785_fixed,scprep,smooth,785,0.153845886399549,0.16055095985920184,0.1301545702827612,0.4838000270767529,0.4452086880569869
B2,B,htg785_fixed,scprep,smooth,785,0.16440149482016106,0.1712471932232068,0.12890002506954626,0.4778161222143878,0.43937654421568156
B3,B,htg785_fixed,scprep,smooth,785,0.16817343353433964,0.1778363820336877,0.16995854705282118,0.5020049654467367,0.4534045719036445
B4,B,htg785_fixed,scprep,smooth,785,0.18729902508584131,0.17953477250396452,0.17159879127158034,0.5184859972219613,0.4687893138613658
B5,B,htg785_fixed,scprep,smooth,785,0.16533375045650503,0.1766344201766343,0.16130356336993187,0.5103177333308173,0.46468876630883116
B6,B,htg785_fixed,scprep,smooth,785,0.19461904678404945,0.19399068112780846,0.2166271504268899,0.5502651169328681,0.48812781859472165
C1,C,hvg737_train,cp10k,raw,737,0.18002177586722057,0.18371066126811322,0.17031063241028987,0.41957368425883096,0.38538939730483873
